"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT05","WT07","WT08","WT09","WT13","WT14","WT16","WT21"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-07","6.49"," 1539"," 1630","0.00",,,,"60","44","  270","  270","0.0","23.0","25.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-08","6.49"," 1810"," 1744","0.00",,,,"60","48","  270","  290","0.0","13.0","16.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-09","6.71"," 1344"," 1345","0.20",,,,"57","44","  250","  260","0.0","25.1","29.1","    1",,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-10","5.59"," 1431"," 1423","0.00",,,,"62","41","  250","  220","0.0","15.0","17.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-11","5.82"," 1548"," 1529","0.00",,,,"62","47","  250","  240","0.0","13.0","21.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-12","4.25"," 1336"," 1334","0.00",,,,"62","49","  260","  260","0.0","14.1","17.0","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-13","4.92"," 1451"," 1515","0.00",,,,"68","49","  270","  270","0.0","15.0","17.0","    1",,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-14","4.03"," 1503"," 1447","0.00",,,,"77","51","  260","  270","0.0","13.0","15.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-15","5.37"," 1916"," 0051","0.00",,,,"79","54","  280","  330","0.0","13.0","17.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-16","5.14"," 1443"," 1438","0.00",,,,"80","53","  270","  280","0.0","15.0","19.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-17","5.14"," 1416"," 1527","0.00",,,,"75","54","  260","  270","0.0","15.0","16.1",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-18","4.92"," 1433"," 1704","0.00",,,,"62","55","  260","  250","0.0","14.1","16.1","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-19","6.71"," 1645"," 1413","0.10",,,,"60","53","  250","  240","0.0","14.1","19.9",,,,"    1","    1","    1",,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-20","9.40"," 1341"," 1335","0.06",,,,"60","51","  250","  260","0.0","17.0","23.0",,,,,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-21","14.76"," 1808"," 1932","0.02",,,,"62","53","  270","  280","0.0","29.1","32.0","    1",,,,,"    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-22","10.51"," 0216"," 0214","0.00",,,,"70","53","  280","  280","0.0","28.0","33.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-23","7.16"," 1417"," 1409","0.00",,,,"65","46","  270","  270","0.0","16.1","17.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-24","5.59"," 1936"," 1941","0.00",,,,"62","52","  100","  120","0.0","13.0","16.1","    1",,,"    1","    1","    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-25","5.82"," 1423"," 1429","0.00",,,,"65","53","  250","  250","0.0","15.0","17.9","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-26","5.37"," 1508"," 2145","0.00",,,,"71","54","  270","  150","0.0","16.1","17.9",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-27","11.18"," 1618"," 1352","0.54",,,,"61","51","  260","  240","0.0","23.0","29.1","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-28","5.37"," 1440"," 1426","0.00",,,,"63","46","  250","  240","0.0","14.1","19.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-01","6.26"," 1523"," 1354","0.00",,,,"65","50","  270","  280","0.0","17.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-02","8.05"," 1927"," 1446","0.00",,,,"63","55","  270","  270","0.0","15.0","19.9",,,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-03","10.07"," 2155"," 2151","0.02",,,,"62","54","  250","  250","0.0","21.0","25.1",,,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-04","9.84"," 1650"," 0133","0.01",,,,"60","51","  260","  260","0.0","19.9","25.9",,,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-05","5.59"," 1740"," 1453","0.00",,,,"64","47","  250","  230","0.0","15.0","17.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-06","7.61"," 1706"," 2019","0.18",,,,"61","51","  200","   10","0.0","21.9","28.0","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-07","12.08"," 1604"," 1604","0.00",,,,"63","50","  280","  270","0.0","32.0","38.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-08","9.62"," 2348"," 2347","0.00",,,,"61","52","  280","  280","0.0","21.9","25.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-09","12.30"," 1257"," 1256","0.00",,,,"60","48","  270","  270","0.0","28.0","32.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-10","13.87"," 1615"," 1602","0.00",,,,"61","50","  280","  280","0.0","28.0","36.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-11","6.71"," 1836"," 1828","0.00",,,,"64","46","  270","  290","0.0","15.0","17.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-12","7.38"," 2209"," 1345","0.00",,,,"65","47","  270","  220","0.0","17.9","21.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-13","5.82"," 1444"," 1413","0.00",,,,"60","50","  250","  250","0.0","17.0","23.0",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-14","6.26"," 1554"," 1549","0.00",,,,"65","49","  270","  270","0.0","17.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-15","5.14"," 1849"," 1853","0.00",,,,"76","49","  290","  280","0.0","15.0","21.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-16","7.61"," 1712"," 1728","0.00",,,,"85","57","  270","  270","0.0","17.9","21.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-17","6.04"," 1320"," 1402","0.00",,,,"83","59","  280","  270","0.0","16.1","17.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-18","6.26"," 1401"," 1337","0.00",,,,"72","55","  260","  270","0.0","15.0","17.9","    1",,,,"    1","    1",,,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-19","6.71"," 1809"," 1253","0.00",,,,"69","53","  280","  270","0.0","19.9","23.9","    1",,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-20","5.82"," 1435"," 1435","0.00",,,,"75","53","  270","  270","0.0","14.1","17.0","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-21","5.14"," 1554"," 1657","0.00",,,,"69","52","  270","  260","0.0","17.0","19.9","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-22","5.37"," 1745"," 1745","0.00",,,,"64","51","  260","  260","0.0","15.0","17.0","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-23","7.83"," 1326"," 1449","0.00",,,,"66","55","  270","  250","0.0","21.0","25.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-24","7.61"," 1445"," 1444","0.00",,,,"69","53","  260","  270","0.0","17.9","21.9","    1",,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-25","6.49"," 1515"," 1547","0.00",,,,"62","54","  280","  260","0.0","17.9","23.9",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-26","8.95"," 1910"," 2127","0.00",,,,"68","52","  270","  300","0.0","17.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-27","6.04"," 1510"," 1510","0.00",,,,"82","51","  280","  280","0.0","16.1","17.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-28","7.83"," 1556"," 1846","0.00",,,,"81","55","  270","  290","0.0","17.9","21.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-29","8.72"," 2205"," 1946","0.00",,,,"72","55","  260","  260","0.0","23.0","28.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-30","9.17"," 1424"," 1424","0.00",,,,"64","57","  280","  280","0.0","19.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03-31","12.75"," 1436"," 1412","0.00",,,,"62","53","  250","  230","0.0","25.1","31.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-01","10.96"," 1605"," 1515","0.00",,,,"59","49","  260","  270","0.0","21.9","28.0",,,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-02","7.61"," 1430"," 1436","0.00",,,,"63","49","  260","  260","0.0","17.9","21.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-03","9.17"," 1529"," 1655","0.00",,,,"64","51","  280","  270","0.0","23.0","25.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-04","7.61"," 1717"," 1255","0.01",,,,"61","52","  250","  200","0.0","16.1","23.0","    1",,,"    1","    1","    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-05","14.99"," 1655"," 1646","0.23",,,,"62","52","  280","  280","0.0","29.1","36.0","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-06","6.04"," 1456",,"0.00",,,,"66","49","  260",,"0.0","17.0",,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-07","6.26"," 1749"," 1746","0.00",,,,"77","52","  270","  280","0.0","17.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-08","5.82"," 1247"," 1246","0.00",,,,"79","56","  270","  270","0.0","17.0","21.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-09","6.93"," 1346"," 1233","0.00",,,,"71","55","  250","  280","0.0","16.1","21.0","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-10","7.16"," 1620"," 1615","0.00",,,,"62","56","  260","  280","0.0","15.0","19.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-11","9.84"," 2142"," 2142","0.56",,,,"63","53","  160","  150","0.0","21.9","29.1","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-12","11.86"," 2140"," 2140","0.21",,,,"61","52","  280","  280","0.0","21.9","29.1","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-13","6.93"," 1539"," 1517","0.00",,,,"62","48","  280","  250","0.0","16.1","21.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-14","7.61"," 1504"," 1529","0.00",,,,"64","50","  280","  280","0.0","21.0","23.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-15","6.71"," 1451"," 1439","0.00",,,,"65","53","  270","  260","0.0","17.0","21.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-16","7.16"," 1414"," 1354","0.00",,,,"64","53","  260","  260","0.0","17.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-17","5.82"," 1259"," 1247","0.00",,,,"69","53","  270","  260","0.0","16.1","19.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-18","6.71"," 1620"," 1609","0.00",,,,"67","53","  250","  270","0.0","19.9","25.1","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-19","9.62"," 1456"," 1457","0.00",,,,"66","57","  270","  280","0.0","19.9","23.0",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-20","13.20"," 2318"," 2320","0.14",,,,"65","54","  290","  290","0.0","32.0","40.9","    1",,,"    1",,"    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-21","21.03"," 1622"," 1635","0.06",,,,"61","50","  270","  270","0.0","38.0","45.0",,,,,,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-22","5.37"," 2358"," 2357","0.00",,,,"59","47","  270","  270","0.0","19.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-23","7.61"," 1450"," 1543","0.00",,,,"63","46","  240","  240","0.0","17.9","21.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-24","8.05"," 1350"," 1426","0.00",,,,"64","54","  260","  260","0.0","17.9","21.9","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-25","7.16"," 1401"," 1229","0.00",,,,"63","53","  280","  280","0.0","17.0","23.9","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-26","7.38"," 1523"," 1247","0.00",,,,"61","53","  270","  270","0.0","17.0","23.0","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-27","6.04"," 1600"," 1558","0.02",,,,"61","56","  260","  260","0.0","17.0","21.0","    1",,,,"    1","    1",,"    1","    1","    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-28","15.66"," 1654"," 1654","0.02",,,,"64","55","  260","  260","0.0","34.9","40.0","    1",,,"    1",,,,"    1","    1","    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-29","15.21"," 1308"," 1332","0.00",,,,"65","53","  270","  280","0.0","34.9","40.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04-30","13.42"," 1522"," 1538","0.00",,,,"68","56","  270","  270","0.0","36.0","44.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-01","8.50"," 1539"," 1540","0.00",,,,"67","52","  260","  260","0.0","25.1","29.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-02","8.95"," 1251"," 1311","0.00",,,,"69","54","  260","  250","0.0","17.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-03","7.61"," 1402"," 1401","0.00",,,,"70","56","  270","  290","0.0","17.0","21.0","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-04","5.14"," 1113"," 1218","0.00",,,,"67","55","  260","  310","0.0","15.0","17.9","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-05","6.26"," 1457"," 1143","0.00",,,,"66","56","  280","  280","0.0","15.0","21.0","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-06","5.59"," 1404"," 1321","0.00",,,,"67","56","  260","  240","0.0","17.9","23.9",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-07","6.71"," 1522"," 1517","0.00",,,,"70","57","  260","  260","0.0","16.1","21.0","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-08","6.93"," 1622"," 1620","0.00",,,,"69","58","  270","  260","0.0","17.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-09","11.18"," 1804"," 1731","0.00",,,,"64","55","  270","  270","0.0","31.1","38.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-10","10.07"," 2033"," 1938","0.00",,,,"65","51","  270","  260","0.0","25.1","29.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-11","12.75"," 1505"," 1508","0.00",,,,"65","54","  260","  270","0.0","33.1","38.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-12","6.71"," 1444"," 1428","0.00",,,,"68","51","  240","  260","0.0","16.1","21.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-13","7.16"," 1259"," 1222","0.00",,,,"69","57","  260","  220","0.0","16.1","21.0","    1",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-14","5.59"," 1626"," 1307","0.00",,,,"65","56","  260","  260","0.0","13.0","17.9","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05-15","6.71"," 1631"," 1419","0.00",,,,"64","55","  270","  280","0.0","17.0","21.9","    1",,,,"    1","    1",,"    1",,,
